Subject	Sex	Trial	TrialType	Item	Phonology	Novelty	UttCode	Experiment
210	F	32	critical	floating	non-A	real	A	2
211	F	1	filler	lies	non-A	real	RC	2
211	F	2	critical	adax	A	novel	RC	2
211	F	3	filler	golfs	non-A	real	RC	2
211	F	4	critical	ablim	A	novel	RC	2
211	F	5	filler	votes	non-A	real	RC	2
211	F	6	critical	chammy	non-A	novel	A	2
211	F	7	filler	bad	non-A	real	A	2
211	F	8	critical	living	non-A	real	A	2
211	F	9	filler	smokes	non-A	real	RC	2
211	F	10	critical	gecky	non-A	novel	A	2
211	F	11	filler	good	non-A	real	A	2
211	F	12	critical	alive	A	real	RC	2
211	F	13	filler	old	non-A	real	A	2
211	F	14	critical	flitzy	non-A	novel	A	2
211	F	15	filler	young	non-A	real	A	2
211	F	16	critical	asleep	A	real	RC	2
211	F	17	filler	snowboards	non-A	real	RC	2
211	F	18	critical	floating	non-A	real	A	2
211	F	19	filler	fast	non-A	real	A	2
211	F	20	critical	slooky	non-A	novel	A	2
211	F	21	filler	gambles	non-A	real	RC	2
211	F	22	critical	afloat	A	real	A	2
211	F	23	filler	slow	non-A	real	A	2
211	F	24	critical	sleepy	non-A	real	A	2
211	F	25	filler	weak	non-A	real	A	2
211	F	26	critical	afraz	A	novel	RC	2
211	F	27	filler	bites	non-A	real	RC	2
211	F	28	critical	afraid	A	real	RC	2
211	F	29	filler	strong	non-A	real	A	2
211	F	30	critical	agask	A	novel	RC	2
211	F	31	filler	cheats	non-A	real	RC	2
211	F	32	critical	frightened	non-A	real	A	2
212	F	1	filler	bites	non-A	real	RC	2
212	F	2	critical	sleepy	non-A	real	A	2
212	F	3	filler	fast	non-A	real	A	2
212	F	4	critical	ablim	A	novel	RC	2
212	F	5	filler	smokes	non-A	real	RC	2
212	F	6	critical	slooky	non-A	novel	A	2
212	F	7	filler	young	non-A	real	A	2
212	F	8	critical	adax	A	novel	A	2
212	F	9	filler	slow	non-A	real	A	2
212	F	10	critical	floating	non-A	real	A	2
212	F	11	filler	snowboards	non-A	real	RC	2
212	F	12	critical	living	non-A	real	A	2
212	F	13	filler	votes	non-A	real	RC	2
212	F	14	critical	asleep	A	real	RC	2
212	F	15	filler	lies	non-A	real	RC	2
212	F	16	critical	flitzy	non-A	novel	A	2
212	F	17	filler	bad	non-A	real	A	2
212	F	18	critical	afraid	A	real	RC	2
212	F	19	filler	cheats	non-A	real	RC	2
212	F	20	critical	agask	A	novel	RC	2
212	F	21	filler	old	non-A	real	A	2
212	F	22	critical	frightened	non-A	real	A	2
212	F	23	filler	strong	non-A	real	A	2
212	F	24	critical	gecky	non-A	novel	A	2
212	F	25	filler	gambles	non-A	real	RC	2
212	F	26	critical	alive	A	real	RC	2
212	F	27	filler	weak	non-A	real	A	2
212	F	28	critical	afloat	A	real	RC	2
212	F	29	filler	golfs	non-A	real	RC	2
212	F	30	critical	afraz	A	novel	RC	2
212	F	31	filler	good	non-A	real	A	2
212	F	32	critical	chammy	non-A	novel	A	2
213	F	1	filler	strong	non-A	real	A	2
213	F	2	critical	agask	A	novel	RC	2
213	F	3	filler	old	non-A	real	A	2
213	F	4	critical	asleep	A	real	RC	2
213	F	5	filler	gambles	non-A	real	RC	2
213	F	6	critical	chammy	non-A	novel	A	2
213	F	7	filler	bad	non-A	real	A	2
213	F	8	critical	afraz	A	novel	RC	2
213	F	9	filler	young	non-A	real	A	2
213	F	10	critical	living	non-A	real	RC	2
213	F	11	filler	snowboards	non-A	real	RC	2
213	F	12	critical	frightened	non-A	real	A	2
213	F	13	filler	fast	non-A	real	A	2
213	F	14	critical	alive	A	real	RC	2
213	F	15	filler	bites	non-A	real	RC	2
213	F	16	critical	floating	non-A	real	A	2
213	F	17	filler	slow	non-A	real	A	2
213	F	18	critical	slooky	non-A	novel	A	2
213	F	19	filler	golfs	non-A	real	RC	2
213	F	20	critical	ablim	A	novel	RC	2
213	F	21	filler	weak	non-A	real	A	2
213	F	22	critical	sleepy	non-A	real	A	2
213	F	23	filler	cheats	non-A	real	RC	2
213	F	24	critical	afloat	A	real	RC	2
213	F	25	filler	good	non-A	real	A	2
213	F	26	critical	flitzy	non-A	novel	A	2
213	F	27	filler	smokes	non-A	real	RC	2
213	F	28	critical	afraid	A	real	RC	2
213	F	29	filler	lies	non-A	real	RC	2
213	F	30	critical	gecky	non-A	novel	A	2
213	F	31	filler	votes	non-A	real	RC	2
213	F	32	critical	adax	A	novel	A	2
214	F	1	filler	votes	non-A	real	RC	2
214	F	2	critical	alive	A	real	RC	2
214	F	3	filler	good	non-A	real	A	2
214	F	4	critical	afraid	A	real	RC	2
214	F	5	filler	lies	non-A	real	RC	2
214	F	6	critical	living	non-A	real	A	2
214	F	7	filler	weak	non-A	real	A	2
214	F	8	critical	adax	A	novel	RC	2
214	F	9	filler	slow	non-A	real	A	2
214	F	10	critical	chammy	non-A	novel	A	2
214	F	11	filler	smokes	non-A	real	RC	2
214	F	12	critical	asleep	A	real	A	2
214	F	13	filler	cheats	non-A	real	RC	2
214	F	14	critical	afraz	A	novel	A	2
214	F	15	filler	fast	non-A	real	A	2
214	F	16	critical	afloat	A	real	A	2
214	F	17	filler	young	non-A	real	A	2
214	F	18	critical	gecky	non-A	novel	A	2
214	F	19	filler	bad	non-A	real	A	2
214	F	20	critical	frightened	non-A	real	A	2
214	F	21	filler	golfs	non-A	real	RC	2
214	F	22	critical	flitzy	non-A	novel	A	2
214	F	23	filler	bites	non-A	real	RC	2
214	F	24	critical	sleepy	non-A	real	A	2
214	F	25	filler	old	non-A	real	A	2
214	F	26	critical	ablim	A	novel	A	2
214	F	27	filler	snowboards	non-A	real	RC	2
214	F	28	critical	slooky	non-A	novel	A	2
214	F	29	filler	gambles	non-A	real	RC	2
214	F	30	critical	agask	A	novel	A	2
214	F	31	filler	strong	non-A	real	A	2
214	F	32	critical	floating	non-A	real	A	2
215	F	1	filler	lies	non-A	real	RC	2
215	F	2	critical	adax	A	novel	A	2
215	F	3	filler	golfs	non-A	real	RC	2
215	F	4	critical	ablim	A	novel	A	2
215	F	5	filler	votes	non-A	real	RC	2
215	F	6	critical	chammy	non-A	novel	A	2
215	F	7	filler	bad	non-A	real	A	2
215	F	8	critical	living	non-A	real	A	2
215	F	9	filler	smokes	non-A	real	RC	2
215	F	10	critical	gecky	non-A	novel	A	2
215	F	11	filler	good	non-A	real	A	2
215	F	12	critical	alive	A	real	RC	2
215	F	13	filler	old	non-A	real	A	2
215	F	14	critical	flitzy	non-A	novel	A	2
215	F	15	filler	young	non-A	real	A	2
215	F	16	critical	asleep	A	real	RC	2
215	F	17	filler	snowboards	non-A	real	RC	2
215	F	18	critical	floating	non-A	real	A	2
215	F	19	filler	fast	non-A	real	RC	2
215	F	20	critical	slooky	non-A	novel	A	2
215	F	21	filler	gambles	non-A	real	RC	2
215	F	22	critical	afloat	A	real	RC	2
215	F	23	filler	slow	non-A	real	A	2
215	F	24	critical	sleepy	non-A	real	A	2
215	F	25	filler	weak	non-A	real	A	2
215	F	26	critical	afraz	A	novel	RC	2
215	F	27	filler	bites	non-A	real	RC	2
215	F	28	critical	afraid	A	real	RC	2
215	F	29	filler	strong	non-A	real	A	2
215	F	30	critical	agask	A	novel	RC	2
215	F	31	filler	cheats	non-A	real	RC	2
215	F	32	critical	frightened	non-A	real	A	2
216	M	1	filler	bites	non-A	real	RC	2
216	M	2	critical	sleepy	non-A	real	RC	2
216	M	3	filler	fast	non-A	real	A	2
216	M	4	critical	ablim	A	novel	A	2
216	M	5	filler	smokes	non-A	real	RC	2
216	M	6	critical	slooky	non-A	novel	A	2
216	M	7	filler	young	non-A	real	A	2
216	M	8	critical	adax	A	novel	A	2
216	M	9	filler	slow	non-A	real	A	2
216	M	10	critical	floating	non-A	real	A	2
216	M	11	filler	snowboards	non-A	real	RC	2
216	M	12	critical	living	non-A	real	A	2
216	M	13	filler	votes	non-A	real	RC	2
216	M	14	critical	asleep	A	real	RC	2
216	M	15	filler	lies	non-A	real	RC	2
216	M	16	critical	flitzy	non-A	novel	A	2
216	M	17	filler	bad	non-A	real	A	2
216	M	18	critical	afraid	A	real	RC	2
216	M	19	filler	cheats	non-A	real	RC	2
216	M	20	critical	agask	A	novel	A	2
216	M	21	filler	old	non-A	real	A	2
216	M	22	critical	frightened	non-A	real	A	2
216	M	23	filler	strong	non-A	real	A	2
216	M	24	critical	gecky	non-A	novel	A	2
216	M	25	filler	gambles	non-A	real	RC	2
216	M	26	critical	alive	A	real	RC	2
216	M	27	filler	weak	non-A	real	A	2
216	M	28	critical	afloat	A	real	RC	2
216	M	29	filler	golfs	non-A	real	RC	2
216	M	30	critical	afraz	A	novel	A	2
216	M	31	filler	good	non-A	real	A	2
216	M	32	critical	chammy	non-A	novel	A	2
217	F	1	filler	strong	non-A	real	A	2
217	F	2	critical	agask	A	novel	RC	2
217	F	3	filler	old	non-A	real	A	2
217	F	4	critical	asleep	A	real	A	2
217	F	5	filler	gambles	non-A	real	RC	2
217	F	6	critical	chammy	non-A	novel	A	2
217	F	7	filler	bad	non-A	real	A	2
217	F	8	critical	afraz	A	novel	RC	2
217	F	9	filler	young	non-A	real	A	2
217	F	10	critical	living	non-A	real	A	2
217	F	11	filler	snowboards	non-A	real	RC	2
217	F	12	critical	frightened	non-A	real	A	2
