Subject	Sex	Trial	TrialType	Item	Phonology	Novelty	UttCode	Experiment
209	M	13	filler	fast	non-A	real	A	2
209	M	14	critical	alive	A	real	RC	2
209	M	15	filler	bites	non-A	real	RC	2
209	M	16	critical	floating	non-A	real	A	2
209	M	17	filler	slow	non-A	real	A	2
209	M	18	critical	slooky	non-A	novel	A	2
209	M	19	filler	golfs	non-A	real	RC	2
209	M	20	critical	ablim	A	novel	RC	2
209	M	21	filler	weak	non-A	real	A	2
209	M	22	critical	sleepy	non-A	real	A	2
209	M	23	filler	cheats	non-A	real	RC	2
209	M	24	critical	afloat	A	real	RC	2
209	M	25	filler	good	non-A	real	A	2
209	M	26	critical	flitzy	non-A	novel	A	2
209	M	27	filler	smokes	non-A	real	RC	2
209	M	28	critical	afraid	A	real	RC	2
209	M	29	filler	lies	non-A	real	RC	2
209	M	30	critical	gecky	non-A	novel	RC	2
209	M	31	filler	votes	non-A	real	RC	2
209	M	32	critical	adax	A	novel	RC	2
210	F	1	filler	votes	non-A	real	RC	2
210	F	2	critical	alive	A	real	RC	2
210	F	3	filler	good	non-A	real	A	2
210	F	4	critical	afraid	A	real	RC	2
210	F	5	filler	lies	non-A	real	RC	2
210	F	6	critical	living	non-A	real	RC	2
210	F	7	filler	weak	non-A	real	A	2
210	F	8	critical	adax	A	novel	RC	2
210	F	9	filler	slow	non-A	real	A	2
210	F	10	critical	chammy	non-A	novel	A	2
210	F	11	filler	smokes	non-A	real	RC	2
210	F	12	critical	asleep	A	real	RC	2
210	F	13	filler	cheats	non-A	real	RC	2
210	F	14	critical	afraz	A	novel	RC	2
210	F	15	filler	fast	non-A	real	A	2
210	F	16	critical	afloat	A	real	RC	2
210	F	17	filler	young	non-A	real	A	2
210	F	18	critical	gecky	non-A	novel	A	2
210	F	19	filler	bad	non-A	real	A	2
210	F	20	critical	frightened	non-A	real	RC	2
210	F	21	filler	golfs	non-A	real	RC	2
210	F	22	critical	flitzy	non-A	novel	A	2
210	F	23	filler	bites	non-A	real	RC	2
210	F	24	critical	sleepy	non-A	real	A	2
210	F	25	filler	old	non-A	real	A	2
210	F	26	critical	ablim	A	novel	RC	2
210	F	27	filler	snowboards	non-A	real	RC	2
210	F	28	critical	slooky	non-A	novel	A	2
210	F	29	filler	gambles	non-A	real	RC	2
210	F	30	critical	agask	A	novel	RC	2
210	F	31	filler	strong	non-A	real	A	2
